Landslide ID,Moisture,temperature,humidity,rainfall,Landslide Aelrt-label
LS1,0.36,20.87974371,82.00274423,202.9355362,Red
LS10,0.34,23.22397386,83.03322691,221.2091958,Red
LS100,0.27,23.35905428,83.59512273,188.413665,Orange
LS1000,0.5,23.88404783,86.20613842,108.3121789,Yellow
LS1001,0.5,29.36792366,76.24900101,92.82840911,Yellow
LS1002,0.5,27.33368994,83.67675197,101.0494791,Yellow
LS1003,0.5,27.40053601,82.96221306,104.9378,Yellow
LS1004,0.5,29.3159075,80.11585705,90.10978128,Yellow
LS1005,0.5,26.05433004,79.39654531,113.2297373,Yellow
LS1006,0.5,25.86632408,84.42379269,114.5357503,Yellow
LS1007,0.5,27.00932084,80.18546798,97.32531705,Yellow
LS1008,0.5,29.55054817,78.06762846,99.34482238,Yellow
LS1009,0.5,26.28845991,83.390039,113.8729798,Yellow
LS101,0.29,22.61359953,63.69070564,87.75953857,Yellow
LS1010,0.5,29.16226551,76.16151562,100.0075679,Yellow
LS1011,0.5,28.65003945,82.68752542,98.75084366,Yellow
LS1012,0.5,29.07311132,76.50045221,100.1692639,Yellow
LS1013,0.5,28.08166093,75.26429821,118.2761894,Yellow
LS1014,0.5,27.1994597,78.8086068,99.72430835,Yellow
LS1015,0.5,28.05484146,78.04602887,108.3957179,Yellow
LS1016,0.5,25.14748006,83.34688193,98.66679427,Yellow
LS1017,0.5,25.94019018,78.3422098,119.84797,Yellow
LS1018,0.5,27.66752761,79.68542782,108.66464,Yellow
LS1019,0.51,25.56703012,75.94067692,102.7867717,Yellow
LS102,0.28,26.10018422,71.57476937,102.2662445,Yellow
LS1020,0.5,28.6956201,82.54195839,116.1616839,Yellow
LS1021,0.5,26.33544853,76.8532006,118.6858263,Yellow
LS1022,0.5,25.93730186,78.89864446,98.21747528,Yellow
LS1023,0.5,25.13686519,84.88394407,91.46442491,Yellow
LS1024,0.5,27.50527651,80.79783998,105.0776992,Yellow
LS1025,0.5,26.21009246,82.34429458,112.0700033,Yellow
LS1026,0.5,29.10403455,79.19588629,92.07835761,Yellow
LS1027,0.5,29.2440638,77.32017166,90.66727868,Yellow
LS1028,0.5,25.56202173,77.38229006,93.10247183,Yellow
LS1029,0.5,26.3985515,81.36028902,98.16752001,Yellow
LS103,0.28,23.55882094,71.59351368,66.71995467,Yellow
LS1030,0.5,28.09577643,77.79586769,109.5408614,Yellow
LS1031,0.5,27.84767901,83.31110751,117.2878912,Yellow
LS1032,0.5,27.39341554,81.4654833,94.31102057,Yellow
LS1033,0.5,25.14517635,81.38204104,119.218154,Yellow
LS1034,0.5,28.65456263,79.28693687,102.4633775,Yellow
LS1035,0.5,29.16093424,76.67484233,109.575944,Yellow
LS1036,0.5,27.57278064,82.0638878,91.34276507,Yellow
LS1037,0.5,25.40909896,82.36208097,112.9794804,Yellow
LS1038,0.5,25.99069521,83.33983116,112.0777152,Yellow
LS1039,0.5,26.29039046,81.06003778,118.6730366,Yellow
LS104,0.28,19.97215954,57.68272924,60.65171481,Yellow
LS1040,0.51,29.14827211,78.71024836,117.536781,Yellow
LS1041,0.5,26.59743595,79.35898915,107.3944717,Yellow
LS1042,0.51,25.36059237,75.03193255,116.5531455,Yellow
LS1043,0.51,29.12036889,80.18080728,112.3982055,Yellow
LS1044,0.51,27.53911354,77.25629897,110.3262123,Yellow
LS1045,0.51,29.66727337,83.51014178,110.2511102,Yellow
LS1046,0.51,25.05802193,84.97323747,110.4408803,Yellow
LS1047,0.51,25.86824781,78.52399914,116.3019555,Yellow
LS1048,0.51,25.85036988,81.95580471,119.0856171,Yellow
LS1049,0.51,26.51682337,77.79913575,108.8547508,Yellow
